회사명,제목,링크,지역,경력,학력,고용형태,마감일,직무분야,연봉정보
(주)포니링크,"㈜포니링크 IT 사업부, 자율주행사업부, 해외패션사업부, 경영기획본부 등 각 본부 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49175033&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 영등포구,신입·경력,고졸↑,정규직,~ 12/12(목),"Python, C++, Java, 딥러닝, Linux 외                    수정일 24/11/26",디자인 지원 TOP100
우리에프아이에스(주),2024년 하반기 우리에프아이에스 경력사원 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49407828&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 마포구,경력,학력무관,정규직·계약직,~ 11/29(금),"Python, C++, Java, Linux, 솔루션 외                    수정일 24/11/18",금융·보험 지원 TOP100
(주)콘텐트리중앙,2024 콘텐트리중앙 IT부문 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49475036&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 마포구,경력8년↑,학력무관,정규직,~ 12/10(화),"Python, C++, Java, Linux, 솔루션 외                    수정일 24/11/26",인기있는
(주)에스테이트,[미래내일 일경험] 기업별 IT개발(백엔드/프론트엔드)직무 인턴 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49319700&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 강서구,경력무관,초대졸↑,인턴직,~ 11/30(토),"Python, Java, AWS, 웹개발, 데이터분석가 외                    수정일 24/11/04",디자인 지원 TOP100
(주)에스테이트,[미래내일 일경험] 더치트 개발팀/디자인 직무 인턴 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49471265&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 강서구,경력무관,초대졸↑,인턴직,~ 12/25(수),"Python, Java, AWS, 웹개발, 데이터분석가 외                    수정일 24/11/26",미디어·문화·스포츠 스크랩 TOP100
(주)나라스페이스테크놀로지,[NARA SPACE] 각 부문별 직원모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394069&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 영등포구,신입·경력,초대졸↑,정규직,상시채용,"Python, 솔루션, AWS, 웹개발, 알고리즘 외                    수정일 24/11/26",상품기획·MD 조회 TOP100
디아이동일(주),"각 부문별 채용(회계관리/니트원단 영업,생산/니트의류 영업/IR)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49430791&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 강남구,신입·경력,고졸↑,정규직,~ 12/01(일),"Python, Java, 유지보수, 정보보안, 네트워크 외                    수정일 24/11/20",마케팅·홍보·조사 지원 TOP100
(주)씨어스테크놀로지,2024년 신입/경력사원 정규직 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49427946&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,경기 성남시 분당구,신입·경력,학력무관,정규직,~ 12/03(화),"Python, C++, Java, 딥러닝, AWS 외                    수정일 24/11/19",기획·전략 지원 TOP100
에스지에이(주),[SGA그룹] 하반기 직군별 신입/경력 직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49440193&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,경기 의왕시,신입·경력,고졸↑,정규직,내일마감,"Python, C++, Java, Linux, 솔루션 외                    수정일 24/11/21",디자인 지원 TOP100
(주)푸드테크,㈜푸드테크 하반기 신입/경력 전부문 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49101962&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 강남구,신입·경력,초대졸↑,정규직,~ 11/30(토),"Python, C++, Java, Linux, 솔루션 외                    수정일 24/11/14",교육 지원 TOP100
이에이트(주),[코스닥 상장사] 이에이트 신입 및 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48494926&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 송파구,신입·경력,학력무관,정규직·전문연구요원,~ 12/31(화),"Python, C++, Java, 딥러닝, Linux 외                    수정일 24/11/25",금융·보험 지원 TOP100
(주)라이프스타일프로젝트,LSP 하반기 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49286279&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 강남구,신입·경력,학력무관,정규직,상시채용,"Python, 웹개발, 앱개발, 프론트엔드, SI개발 외                    수정일 24/11/19",상품기획·MD 지원 TOP100
(주)인투알,[사세확장] 각 부서별 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49348827&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,경기 김포시,경력무관,학력무관,정규직,~ 12/06(금),"Python, Java, AWS, 웹개발, 기술지원 외                    수정일 24/11/07",교육 지원 TOP100
(주)콘텐츠브릿지,경영지원팀 인사/총무 담당자 채용 (신입),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49438256&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 강남구,신입,초대졸↑,정규직,~ 12/20(금),"비서, 사무직, 서무, 총무, 교육행정 외                    수정일 24/11/20",인사·노무·HRD 지원 TOP100
(주)윤성에프앤씨,R&D 신입/경력/석사 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49333142&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,경기전체,신입·경력,대졸↑,정규직,~ 12/01(일),"Python, 딥러닝, 모델링, 공정엔지니어, 설계엔지니어 외                    수정일 24/11/26",인기있는
(주)싸이노스,[삼성반도체 1차 협력사] 사무/연구직 수시 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49299825&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,경기 화성시,신입·경력,고졸↑,정규직,~ 11/30(토),"Python, 데이터분석가, 보안컨설팅, 정보보안, 세무사 외                    수정일 24/11/18",운전·운송·배송 지원 TOP100
국민연금공단,기금운용본부 자산운용전문가 모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49391941&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,전북 전주시,신입·경력,학력무관,계약직,18시마감,"Python, 데이터분석가, 데이터엔지니어, 유지보수, SE(시스템엔지니어) 외                    수정일 24/11/13",금융·보험 지원 TOP100
(주)케이티디에스,[kt ds] 2024년 각 부문별 경력사원 상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49444384&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 서초구,경력2년↑,학력무관,정규직·계약직,~ 02/28(금),"Python, C++, Java, Linux, 솔루션 외                    수정일 24/11/21",마케팅·홍보·조사 지원 TOP100
(주)네오플,[네오플] 프로그래밍/기술지원 직군 분야별 모집(근무지:서울),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49409848&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 강남구,신입·경력,학력무관,정규직,~ 12/15(일),"Python, C++, Java, Linux, 게임개발 외                    수정일 24/11/21",평균연봉 상위 10%
(주)네오플,[네오플] 게임그래픽 직군 분야별 모집 (근무지 : 서울),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49409825&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 강남구,경력무관,학력무관,정규직,~ 12/15(일),"Python, 게임개발, 모델링, 게임디자인, 모바일디자인 외                    수정일 24/11/27",평균연봉 상위 10%
한영회계법인,컨설팅부문 데이터분석 인턴,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49468140&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 영등포구,신입,대졸↑,인턴직,~ 12/01(일),"Python, SAP, AI(인공지능), 리서치, 데이터분석 외                    등록일 24/11/25",기획·전략 지원 TOP100
서울대학교병원,서울대학교병원 AI/데이터사이언스 연구원 및 대학원생 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49233336&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 종로구,경력무관,대졸↑,계약직,~ 12/20(금),"Python, 딥러닝, 머신러닝, 데이터분석가, 데이터엔지니어 외                    등록일 24/10/21",인기있는
(주)엔씨소프트,엔씨소프트 전 부문 수시 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48103965&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,경기 성남시 분당구,신입·경력,학력무관,정규직,~ 05/14(수),"Python, Java, 딥러닝, 머신러닝, 게임개발 외                    수정일 24/11/06",디자인 지원 TOP100
(주)한국케이블텔레콤,태광그룹 (주)한국케이블텔레콤 2024년 대졸 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49428006&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 중구,경력,대졸↑,정규직,~ 12/04(수),"Python, C++, Java, Linux, 솔루션 외                    수정일 24/11/21",인기있는
(주)비바리퍼블리카,[토스증권] 데이터 엔지니어링 직군 경력 공채,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49401193&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 강남구,경력무관,학력무관,정규직,~ 12/01(일),"Python, 데이터분석가, DBA, 데이터라벨링, 데이터마이닝 외                    수정일 24/11/14",IT개발·데이터 지원 TOP100
(주)폴리인스퍼레이션,"전 부문 채용(캠퍼스지원,물류,IT기획,R&D,인사팀장,재무)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49295104&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 송파구,신입·경력,학력무관,정규직,내일마감,"Python, 딥러닝, 솔루션, 머신러닝, AWS 외                    수정일 24/11/26",교육 지원 TOP100
나이스피앤아이(주),나이스피앤아이 2024년 4분기 공개채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49445307&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 영등포구,신입·경력,대졸↑,정규직,~ 12/08(일),"Python, C++, Java, Linux, 솔루션 외                    수정일 24/11/22",금융·보험 지원 TOP100
(주)지오시스템리서치,(주)지오시스템리서치 2025 정기 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49450452&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,경기 군포시,신입·경력,고졸↑,정규직,~ 12/04(수),"Python, C++, Linux, 알고리즘, 유지보수 외                    수정일 24/11/25",건설·건축 지원 급상승
(주)더존비즈온,AI & MLOps 플랫폼  AI 개발/엔지니어 및 MLOps 개발자 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49381445&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 중구,경력무관,학력무관,정규직,상시채용,"Python, Java, 딥러닝, 솔루션, 웹개발 외                    수정일 24/11/19",인기있는
(주)숲,[SOOP] 서버운영 및 관리 (Operation Engineer),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49452034&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 서초구,신입,학력무관,정규직,~ 12/08(일),"Python, Java, Linux, 솔루션, AWS 외                    등록일 24/11/22",연봉상승률 10% 이상
(주)칸타코리아,[칸타코리아] 마케팅조사 사업부 Senior Data Analyst 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49436408&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 영등포구,경력무관,대졸↑,정규직,~ 12/20(금),"Python, 기술지원, 데이터분석가, 데이터엔지니어, 빅데이터 외                    등록일 24/11/20",연봉상승률 10% 이상
㈜엘오티베큠,[오산/세마역10분]반도체장비회사 연구소 분야별 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49404038&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,경기 오산시,신입·경력,대졸↑,정규직,~ 01/13(월),"Python, H/W, S/W, 연구원, 기술연구 외                    수정일 24/11/14",인기있는
넛지헬스케어(주),[캐시워크] 데이터분석 담당 채용전환형 인턴,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49356995&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 강남구,신입,대졸↑,인턴직,~ 01/06(월),"Python, 머신러닝, AWS, 데이터분석가, 데이터엔지니어 외                    수정일 24/11/13",인기있는
(주)마이크로인피니티,㈜마이크로인피니티 대전사업장 정규직 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49210192&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,대전 유성구,신입·경력,대졸↑,정규직·전문연구요원,~ 12/15(일),"Python, C++, Java, 머신러닝, 네트워크 외                    수정일 24/10/17",생산 지원 급상승
어니컴(주),[어니컴(주)] 데이터 분석가 신입/경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49294538&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 용산구,경력무관,대졸↑,정규직,내일마감,"Python, 데이터분석가, 빅데이터, AI(인공지능), R 외                    수정일 24/11/15",인기있는
엠즈푸드시스템(주),[매일유업 계열] 엠즈푸드시스템 경영분석 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49472021&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 마포구,경력1년↑,대졸↑,정규직,~ 12/26(목),"Python, 데이터분석가, 데이터시각화, 빅데이터, OracleDB 외                    등록일 24/11/26",인기있는
다산팩 주식회사,데이터 분석팀 - 데이터 분석가 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49423318&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 송파구,경력무관,대졸↑,정규직,~ 12/18(수),"Python, 데이터시각화, 빅데이터, 더존, 경영지원 외                    등록일 24/11/18",연봉상승률 20% 이상
(주)앰진,(주)앰진 IT 백엔드 신입·경력 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49460417&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 송파구,신입·경력,대졸↑,정규직,~ 12/02(월),"Python, Java, 솔루션, 머신러닝, 데이터분석가 외                    등록일 24/11/25",인기있는
(주)에이치이엠파마,에이치이엠파마 각 부문별 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49156334&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,경기 수원시 영통구,경력무관,대졸↑,정규직·계약직,~ 12/08(일),"Python, Linux, 알고리즘, ERP, R 외                    수정일 24/11/22",건설·건축 지원 급상승
디딤365(주),정보보안 직무 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49463980&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 구로구,신입·경력,초대졸↑,정규직,~ 12/25(수),"Python, 솔루션, AWS, 정보보안, 네트워크 외                    등록일 24/11/25",인기있는
(주)인이지,[INEEJI] (주)인이지 AI연구소 데이터분석가/AI엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49424537&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 서초구,신입·경력,대졸↑,정규직·계약직,~ 11/30(토),"Python, 딥러닝, 솔루션, 머신러닝, 알고리즘 외                    등록일 24/11/18",연봉상승률 15% 이상
(주)딜리버드코리아,[딜리버드코리아] 데이터 분석가 / 데이터 사이언티스트 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49474375&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 강서구,경력,학력무관,정규직,채용시,"Python, 데이터분석가, 데이터마이닝, 데이터시각화, 빅데이터 외                    등록일 24/11/26",인기있는
(주)티엑스알로보틱스,2024년 하반기 상시채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49424016&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,경기 부천시,경력무관,학력무관,정규직,~ 12/08(일),"Python, C++, Java, AWS, 임베디드 외                    수정일 24/11/25",회계·세무·재무 조회 TOP100
(주)핀크,[하나금융그룹 자회사] 경력직 수시 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49102995&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 중구,경력,학력무관,정규직·계약직,~ 11/30(토),"Python, C++, Java, 솔루션, AWS 외                    수정일 24/11/15",금융·보험 지원 TOP100
에이엠(주),에이엠㈜ 신입/경력 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49452884&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,경기 과천시,신입·경력,대졸↑,정규직,~ 12/21(토),"Python, C++, Java, Linux, AWS 외                    수정일 24/11/22",평균연봉 상위 10%
(주)쇼엠,[인천 송도 근무] 퍼블리셔 신규 직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49305763&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,인천 연수구,경력무관,학력무관,정규직,~ 11/29(금),"Python, Java, AWS, 웹개발, 앱개발 외                    수정일 24/11/05",인기있는
(주)우리기술,"원자력HW개발/sw개발,시험/철도사업엔지니어/품질QA",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49199200&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 마포구,신입·경력,대졸↑,정규직,~ 11/30(토),"Python, C++, Java, Linux, 알고리즘 외                    수정일 24/11/14",평균연봉 상위 10%
법무법인와이케이,[국내TOP7로펌/법무법인YK] 강남본사 프론트엔드/ 백엔드 개발담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49445132&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 강남구,신입·경력,학력무관,정규직,~ 12/20(금),"Python, Java, AWS, 웹개발, 백엔드/서버개발 외                    수정일 24/11/21",기획·전략 지원 TOP100
(주)퍼플아카데미,데이터 분석가 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49475791&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울전체,신입·경력,대졸↑,정규직,~ 12/25(수),"Python, 딥러닝, 머신러닝, 알고리즘, 데이터분석가 외                    등록일 24/11/26",취업축하금
(주)테솔로,로봇/로보틱스 S/W 엔지니어 모집(인턴/신입/경력/전문연구요원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49472136&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,경기 광명시,신입·경력,대졸↑,정규직·인턴직,~ 12/31(화),"Python, C++, 솔루션, 알고리즘, SE(시스템엔지니어) 외                    등록일 24/11/26",인기있는
(주)싱크테크노,[벤처기업] 웹서비스(Fullstack) 개발자 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49370677&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 서초구,신입·경력,대졸↑,정규직,~ 12/11(수),"Python, Java, 딥러닝, 머신러닝, 웹개발 외                    등록일 24/11/11",인기있는
(주)클라리파이,[클라리파이] 기업부설연구소 시스템팀 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49469788&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 종로구,경력무관,대졸↑,정규직·계약직,~ 12/03(화),"Python, C++, 딥러닝, Linux, 솔루션 외                    등록일 24/11/26",시리즈A 투자유치
칼주식회사(영업소),[일본근무/CAL주식회사] IT개발자 정사원 채용/ 미경험 신입환영,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49348031&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,일본,경력무관,초대졸↑,정규직,~ 12/06(금),"Python, C++, Java, 솔루션, 웹개발 외                    수정일 24/11/20",IT개발·데이터 스크랩 급상승
에스케이매직(주),24년 하반기 AI 및 S/W개발 경력 인재영입,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49456515&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,경기 화성시,경력3년↑,대졸↑,정규직,~ 12/04(수),"Python, C++, Linux, 솔루션, AWS 외                    수정일 24/11/26",IT개발·데이터 지원 급상승
주식회사 디센트릭,[디센트릭] 소셜 데이터 분석 채용연계형 인턴십,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49446797&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,경기 과천시,신입,대졸↑,인턴직,~ 12/01(일),"Python, 솔루션, 데이터분석가, 데이터시각화, 빅데이터 외                    수정일 24/11/21",인기있는
(주)뮤디오션,[백엔드] 백엔드/서버개발자 신입 / 경력직ㅇ 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49389034&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 강남구,경력무관,학력무관,정규직,~ 12/12(목),"Python, Java, 백엔드/서버개발, 클라우드, API 외                    등록일 24/11/12",IT개발·데이터 스크랩 급상승
(주)골든플래닛,회계 경력자 재무/결산 손익 파악 & 구글 클라우드 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49354287&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,서울 강남구,경력 5~7년,학력무관,정규직·계약직,~ 11/30(토),"Python, Java, 머신러닝, 데이터분석가, 데이터엔지니어 외                    수정일 24/11/18",인기있는
소프트웨어재난연구센터,2024년 소프트웨어재난연구센터 연구원 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49474035&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=2af36f06-c146-4ff2-99f4-ee20ed1bed8a,대구 북구,경력무관,대졸↑,계약직,~ 12/26(목),"Python, C++, Java, Linux, S/W 외                    등록일 24/11/26",인기있는
(주)부동산플래닛,[데이터분석가] Data Analyst 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49302374&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=07361ede-893d-4120-b5d1-5522f3df3b70,서울 강남구,경력무관,석사↑,정규직,~ 12/29(일),"Python, 데이터분석가, 데이터엔지니어, 데이터라벨링, 데이터마이닝 외                    수정일 24/11/27",Seed 투자유치
(주)테크디엔에이,웹 서비스 개발자(Frontend) 모집(~24.12.15),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49467201&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=07361ede-893d-4120-b5d1-5522f3df3b70,경기 하남시,경력무관,학력무관,정규직,~ 12/15(일),"Python, 웹개발, 프론트엔드, SI개발, 반응형웹 외                    등록일 24/11/25",인기있는
한국장애인고용공단,"2025년 기업채용연계형 씨앗 훈련생 모집(경영지원, SW개발, 제조테스트)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49423609&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=07361ede-893d-4120-b5d1-5522f3df3b70,경기 성남시,경력무관,고졸↑,교육생,~ 12/08(일),"Python, C++, Java, Linux, AWS 외                    수정일 24/11/19",IT개발·데이터 지원 급상승
한국철도기술연구원,"비정규직 인재 공개 채용(원장 차량운전, 스마트워킹시스템운영)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49432162&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=07361ede-893d-4120-b5d1-5522f3df3b70,경기 의왕시,경력무관,고졸↑,기간제·계약직,~ 12/05(목),"Python, RPA, 수행기사, 승합기사, 탁송기사 외                    수정일 24/11/21",운전·운송·배송 조회 TOP100
